Experiment,T,t (min),mu0,mu1,mu2,mu3,C
6,32.44,57.95,401101.330,3978705.800,129855933.820,6698256229.410,0.137157
6,32.22,59.23333,435331.120,4312667.740,127409158.240,6639326166.930,0.137470
6,32.03,60.51667,426071.730,4193852.280,135174073.220,6920964326.990,0.136414
6,31.87,61.78333,507503.730,4776328.520,132452709.170,7379270949.980,0.136737
6,31.74,63.06667,497857.150,4889931.680,134858865.730,7131135655.450,0.137069
6,31.63,64.36667,511135.780,5000104.770,142669349.000,7230341579.300,0.134027
6,31.53,65.65,498898.340,5357508.440,133756169.220,7138553818.620,0.135078
6,31.45,66.95,561774.960,5198427.880,141336102.680,7036167023.400,0.134796
6,31.45,68.23333,495731.930,5548563.860,137397738.230,7107668575.320,0.135218
6,31.21,69.53333,559735.980,5103137.570,144930450.450,7746554884.530,0.134293
6,31,70.83333,599214.780,5466716.980,152762215.500,7639375832.910,0.133351
6,30.81,72.13333,501018.030,5845851.650,142996005.950,7725414686.920,0.133734
6,30.64,73.43333,568784.270,5388067.060,138997729.100,8009030130.120,0.134108
6,30.49,74.73333,522820.210,5776986.490,153232008.390,8099849454.440,0.133812
6,30.36,76.03333,622558.740,5880253.740,161545211.850,7988539841.210,0.132858
6,30.23,77.33333,604739.420,6279697.160,157368007.460,8273609439.590,0.133243
6,30.13,78.63333,585513.680,5469620.080,172068369.290,8151451426.370,0.131653
6,30.03,79.93333,690433.600,6170092.050,167638721.280,8227312658.220,0.133382
6,29.94,81.23333,606728.800,6257629.190,169466688.420,8505905663.710,0.131824
7,29.99,5,23013.900,193974.300,2879288.760,101115869.960,0.142260
7,30.15,6.25,22071.570,275441.860,4600358.700,128708190.130,0.141290
7,30.16,7.5167,24538.090,329661.300,6230497.590,185012783.060,0.141979
7,29.85,8.7667,20397.140,377366.910,7756876.880,235221375.470,0.142606
7,29.85,10.0333,25532.270,467527.010,10202504.640,348985408.250,0.142304
7,30.01,11.2833,22789.750,587337.310,13366869.130,442433382.030,0.141099
7,29.86,12.55,27581.050,629569.830,16975466.570,567937885.140,0.140259
7,30.01,13.8,29137.430,696593.580,20125351.220,707447145.370,0.140218
7,29.99,15.0667,31110.780,761026.210,22336286.330,821517536.620,0.138885
7,30.16,16.3167,31935.040,705048.060,25259232.130,1006718538.460,0.138387
7,30.01,17.5833,34579.650,799146.910,26971269.230,1254932756.800,0.138707
7,30,18.8333,35775.000,942773.060,30940906.250,1370338227.090,0.138190
7,30.15,20.1,40886.340,952510.370,36383045.750,1527466100.210,0.138101
